# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 21
# columns: 2
 50 11.39091
 150 21.71876666666667
 250 32.1226
 350 47.64899166666667
 450 64.36495000000001
 550 80.33591666666668
 650 101.1000333333333
 750 120.92705
 850 135.0581666666667
 950 155.447
 1050 175.39
 1150 188.9448333333333
 1250 210.9269166666667
 1350 232.8046666666667
 1450 246.235
 1550 266.69
 1650 288.0148333333333
 1750 302.4073333333333
 1850 323.50625
 1950 345.5528333333334
 2050 360.6176666666667


