# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: overhead
# type: matrix
# rows: 21
# columns: 2
 50 13.66666666666667
 150 13.66666666666667
 250 14.33333333333333
 350 14.5
 450 16.16666666666667
 550 18
 650 18.16666666666667
 750 18.16666666666667
 850 19
 950 19.16666666666667
 1050 19.16666666666667
 1150 19.66666666666667
 1250 19.91666666666667
 1350 20.66666666666667
 1450 21
 1550 21.16666666666667
 1650 21.16666666666667
 1750 21.16666666666667
 1850 21.66666666666667
 1950 22.16666666666667
 2050 22.16666666666667


