# Created by Octave 3.8.1, Fri Sep 12 14:39:13 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 21
# columns: 2
 50 9.139115
 150 16.90661666666667
 250 23.75966666666666
 350 32.54283333333333
 450 42.65801666666667
 550 49.90013333333334
 650 57.79894166666667
 750 67.24151666666667
 850 73.61031666666666
 950 81.580775
 1050 91.73505
 1150 97.8827
 1250 105.8444083333333
 1350 115.6540166666667
 1450 122.7582666666667
 1550 130.971575
 1650 140.3258666666667
 1750 147.7073
 1850 156.5463333333333
 1950 165.8833333333333
 2050 172.2506666666667


