# Created by Octave 3.8.1, Fri Sep 12 14:38:39 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 21
# columns: 2
 50 405.6463333333334
 150 883.9083333333333
 250 1327.943333333333
 350 1999.775
 450 2679.558333333333
 550 3128.416666666667
 650 3800.9825
 750 4478.593333333333
 850 4928.046666666666
 950 5601.824166666666
 1050 6278.110000000001
 1150 6728.496666666667
 1250 7402.303333333333
 1350 8079.910000000001
 1450 8528.493333333334
 1550 9203.745833333332
 1650 9879.973333333333
 1750 10329.95
 1850 11004.33333333333
 1950 11680.9
 2050 12130.08333333333


