# Created by Octave 3.8.1, Fri Sep 12 14:38:39 2014 CEST <tai@Parme>
# name: overhead
# type: matrix
# rows: 21
# columns: 2
 50 8.5
 150 10.5
 250 12.16666666666667
 350 12.66666666666667
 450 13.66666666666667
 550 14.5
 650 14.5
 750 14.5
 850 14.83333333333333
 950 16
 1050 16.33333333333333
 1150 16.33333333333333
 1250 16.33333333333333
 1350 16.33333333333333
 1450 16.33333333333333
 1550 16.5
 1650 17.33333333333333
 1750 17.33333333333333
 1850 17.66666666666667
 1950 18
 2050 18.16666666666667


