# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 21
# columns: 2
 50 16.42246666666666
 150 31.49008333333333
 250 43.86201666666667
 350 57.70784166666667
 450 76.23639999999999
 550 88.67211666666667
 650 103.6929416666667
 750 122.0883
 850 133.77235
 950 150.8426416666667
 1050 169.7726666666667
 1150 180.0551666666667
 1250 194.999
 1350 212.688
 1450 225.2708333333333
 1550 239.3604166666667
 1650 256.8981666666667
 1750 268.8368333333333
 1850 283.7904166666667
 1950 302.5415
 2050 315.0905


