# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: overhead
# type: matrix
# rows: 21
# columns: 2
 50 10.33333333333333
 150 11.16666666666667
 250 12.33333333333333
 350 12.75
 450 14
 550 14.33333333333333
 650 14.33333333333333
 750 14.33333333333333
 850 15
 950 15.75
 1050 16.33333333333333
 1150 16.33333333333333
 1250 16.33333333333333
 1350 16.33333333333333
 1450 16.33333333333333
 1550 16.33333333333333
 1650 16.83333333333333
 1750 17.16666666666667
 1850 17.66666666666667
 1950 18.33333333333333
 2050 18.33333333333333


