# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: pdr
# type: matrix
# rows: 21
# columns: 2
 50 0.4930555555555555
 150 0.9907407407407408
 250 0.9930555555555557
 350 0.9949074074074075
 450 0.996031746031746
 550 0.9965277777777777
 650 0.9970152435774438
 750 0.9974358974358974
 850 0.9976525821596244
 950 0.9979137328534918
 1050 0.99812734082397
 1150 0.9982456140350878
 1250 0.9983961012923723
 1350 0.9985119047619048
 1450 0.9985875706214689
 1550 0.9986869313482217
 1650 0.9987745098039215
 1750 0.9988262910798121
 1850 0.9988958113958114
 1950 0.9989583333333334
 2050 0.998995983935743


