# Created by Octave 3.8.1, Fri Sep 12 14:37:46 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 21
# columns: 2
 50 90.7473
 150 102.9676666666667
 250 157.4247571428571
 350 237.118
 450 297.0843
 550 350.3034285714286
 650 445.4262857142857
 750 492.9791000000001
 850 546.4867142857144
 950 671.0292857142857
 1050 704.348
 1150 738.6637142857143
 1250 867.5911428571428
 1350 886.9639
 1450 911.7012857142856
 1550 1001.9865
 1650 1102.097363636364
 1750 1132.5145
 1850 1190.507666666667
 1950 1263.5355
 2050 1337.532833333333


